topicIdx,updated,usercode,created,shortOrLong,players,done,key,wordNum,duration,worst,best
8,2015-03-19T05:53:28,I481TWOA,2015-03-15T02:05:52,short,"[u'8-5-word-0-short', u'8-5-histogram-0-short', u'8-5-wordcloud-0-short', u'8-5-topic-in-a-box-0-short']",True,4553653176238080,5,21.43,[u'algorithm'],[u'8-5-wordcloud-0-short']
21,,,2015-03-22T01:36:56,short,"[u'21-20-word-2-short', u'21-20-histogram-3-short', u'21-20-wordcloud-4-short', u'21-20-topic-in-a-box-0-short']",False,4555722545168384,20,,,
38,2015-03-18T18:28:57,93AQP4YT,2015-03-15T02:07:20,long,"[u'38-10-word-2-long', u'38-10-histogram-2-long', u'38-10-wordcloud-2-long', u'38-10-topic-in-a-box-2-long']",True,4556281696223232,10,43.16,[u'38-10-word-2-long'],[u'38-10-histogram-2-long']
26,2015-03-19T03:03:09,6Q2MJ80V,2015-03-15T02:06:52,long,"[u'26-5-word-0-long', u'26-5-histogram-0-long', u'26-5-wordcloud-0-long', u'26-5-topic-in-a-box-0-long']",True,4556684617842688,5,69.002,[u'26-5-wordcloud-0-long'],[u'26-5-topic-in-a-box-0-long']
24,2015-03-19T03:49:56,FU3OZQYE,2015-03-15T02:06:49,long,"[u'24-5-word-2-long', u'24-5-histogram-2-long', u'24-5-wordcloud-2-long', u'24-5-topic-in-a-box-2-long']",True,4556892655321088,5,55.289,[u'24-5-histogram-2-long'],[u'24-5-topic-in-a-box-2-long']
12,,,2015-03-22T01:36:33,long,"[u'12-10-word-3-long', u'12-10-histogram-4-long', u'12-10-wordcloud-0-long', u'12-10-topic-in-a-box-1-long']",False,4557913783795712,10,,,
41,2015-03-19T11:42:22,9VOWEFHW,2015-03-15T02:07:37,long,"[u'41-5-word-2-long', u'41-5-histogram-2-long', u'41-5-wordcloud-2-long', u'41-5-topic-in-a-box-2-long']",True,4558196714766336,5,44.968,[u'41-5-wordcloud-2-long'],[u'41-5-histogram-2-long']
43,2015-03-22T01:44:47,006U2Z6X,2015-03-22T01:38:05,short,"[u'43-5-word-2-short', u'43-5-histogram-3-short', u'43-5-wordcloud-4-short', u'43-5-topic-in-a-box-0-short']",True,4558230806069248,5,18.896,[u'algorithm'],[u'43-5-histogram-3-short']
2,2015-03-22T01:52:40,C7O5R3L9,2015-03-22T01:35:10,long,"[u'2-5-word-2-long', u'2-5-histogram-3-long', u'2-5-wordcloud-4-long', u'2-5-topic-in-a-box-0-long']",True,4558694662537216,5,24.966,[u'2-5-histogram-3-long'],[u'2-5-topic-in-a-box-0-long']
39,2015-03-19T00:31:50,74CB7RUH,2015-03-15T02:07:22,short,"[u'39-20-word-4-short', u'39-20-histogram-4-short', u'39-20-wordcloud-4-short', u'39-20-topic-in-a-box-4-short']",True,4561428140785664,20,39.858,[u'bad_289'],[u'39-20-wordcloud-4-short']
38,2015-03-19T03:22:55,KHATWK9S,2015-03-15T02:07:20,short,"[u'38-20-word-2-short', u'38-20-histogram-2-short', u'38-20-wordcloud-2-short', u'38-20-topic-in-a-box-2-short']",True,4561580880560128,20,21.805,[u'38-20-word-2-short'],[u'38-20-histogram-2-short']
